"_id","_ignored","_index","_score",content,"content.keyword","crawled_date",id,"id.keyword","metadata.category","metadata.category.keyword","metadata.country","metadata.country.keyword","metadata.language","metadata.language.keyword","metadata.pub_date","metadata.region","metadata.region.keyword","processed_at","processed_date","source_name","source_name.keyword","source_type","source_type.keyword",timestamp,title,"title.keyword",url,"url.keyword"
"nP-LN5kBTc8G7TXYZKIb","-",news,1,"Presiden Prabowo Subianto mengunjungi sekolah rakyat di Pondok Indah, Jakarta Selatan","Presiden Prabowo Subianto mengunjungi sekolah rakyat di Pondok Indah, Jakarta Selatan","Sep 11, 2025 @ 13:51:44.893",18c7e3ee03149b3558030408ff286678,18c7e3ee03149b3558030408ff286678,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:47:56.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:44.877","Sep 11, 2025 @ 13:51:44.893",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.564","Prabowo Tinjau Sekolah Rakyat di Jaksel, Disambut Yel-yel oleh Murid","Prabowo Tinjau Sekolah Rakyat di Jaksel, Disambut Yel-yel oleh Murid","https://nasional.kompas.com/read/2025/09/11/13475601/prabowo-tinjau-sekolah-rakyat-di-jaksel-disambut-yel-yel-oleh-murid?utm_source=ABC&utm_medium=rss","https://nasional.kompas.com/read/2025/09/11/13475601/prabowo-tinjau-sekolah-rakyat-di-jaksel-disambut-yel-yel-oleh-murid?utm_source=ABC&utm_medium=rss"
"nf-LN5kBTc8G7TXYZaLi","-",news,1,"Habib Muhsin Ahmad Alatas usulkan BPIP diberi kewenangan menegur lembaga negara yang melenceng dari Pancasila.","Habib Muhsin Ahmad Alatas usulkan BPIP diberi kewenangan menegur lembaga negara yang melenceng dari Pancasila.","Sep 11, 2025 @ 13:51:46.527",008c02559e4abaa4cd9657b51d64692f,008c02559e4abaa4cd9657b51d64692f,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:45:58.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.526","Sep 11, 2025 @ 13:51:46.527",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.564","BPIP Diusulkan Diberi Kewenangan Tegur Lembaga Melenceng dari Pancasila","BPIP Diusulkan Diberi Kewenangan Tegur Lembaga Melenceng dari Pancasila","https://nasional.kompas.com/read/2025/09/11/13455871/bpip-diusulkan-diberi-kewenangan-tegur-lembaga-melenceng-dari-pancasila?utm_source=ABC&utm_medium=rss","https://nasional.kompas.com/read/2025/09/11/13455871/bpip-diusulkan-diberi-kewenangan-tegur-lembaga-melenceng-dari-pancasila?utm_source=ABC&utm_medium=rss"
"nv-LN5kBTc8G7TXYZaL5","-",news,1,"Lampu lalu lintas di Green Garden, Jakarta Barat padam akibat pencurian kabel. Perbaikan sedang dilakukan oleh teknisi Dishub.","Lampu lalu lintas di Green Garden, Jakarta Barat padam akibat pencurian kabel. Perbaikan sedang dilakukan oleh teknisi Dishub.","Sep 11, 2025 @ 13:51:46.548",f90aed28e248a1858860e92e221c83cf,f90aed28e248a1858860e92e221c83cf,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:41:49.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.548","Sep 11, 2025 @ 13:51:46.548",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.564","Kabel Dicuri, Lampu Lalu Lintas di Green Garden Jakbar Mati","Kabel Dicuri, Lampu Lalu Lintas di Green Garden Jakbar Mati","https://megapolitan.kompas.com/read/2025/09/11/13414941/kabel-dicuri-lampu-lalu-lintas-di-green-garden-jakbar-mati?utm_source=ABC&utm_medium=rss","https://megapolitan.kompas.com/read/2025/09/11/13414941/kabel-dicuri-lampu-lalu-lintas-di-green-garden-jakbar-mati?utm_source=ABC&utm_medium=rss"
"n_-LN5kBTc8G7TXYZqIO","-",news,1,"Bek anyar Persib Bandung, Federico Barba, buka suara jelang laga Persib vs Persebaya di Super League 2025-2026, Jumat (12/9/2025).","Bek anyar Persib Bandung, Federico Barba, buka suara jelang laga Persib vs Persebaya di Super League 2025-2026, Jumat (12/9/2025).","Sep 11, 2025 @ 13:51:46.569",bd074a669d466c88ba5c7a6838fa00c7,bd074a669d466c88ba5c7a6838fa00c7,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:35:05.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.569","Sep 11, 2025 @ 13:51:46.569",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.564","Kata-kata Federico Barba Jelang Debut di Laga Persib Vs Persebaya","Kata-kata Federico Barba Jelang Debut di Laga Persib Vs Persebaya","https://bola.kompas.com/read/2025/09/11/13350508/kata-kata-federico-barba-jelang-debut-di-laga-persib-vs-persebaya?utm_source=ABC&utm_medium=rss","https://bola.kompas.com/read/2025/09/11/13350508/kata-kata-federico-barba-jelang-debut-di-laga-persib-vs-persebaya?utm_source=ABC&utm_medium=rss"
"oP-LN5kBTc8G7TXYZqIi","-",news,1,"Chromebook ringan, cepat, dan aman untuk aktivitas online,  namun memiliki fitur terbatas dan kurang cocok untuk kerja berat.","Chromebook ringan, cepat, dan aman untuk aktivitas online,  namun memiliki fitur terbatas dan kurang cocok untuk kerja berat.","Sep 11, 2025 @ 13:51:46.591",39ca236206c8dfc8621c55d510b1c7c6,39ca236206c8dfc8621c55d510b1c7c6,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:35:00.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.591","Sep 11, 2025 @ 13:51:46.591",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.564","Apa Itu Laptop Chromebook, Fitur-fitur, Kelebihan dan Kekurangannya","Apa Itu Laptop Chromebook, Fitur-fitur, Kelebihan dan Kekurangannya","https://tekno.kompas.com/read/2025/09/11/13350087/apa-itu-laptop-chromebook-fitur-fitur-kelebihan-dan-kekurangannya-?utm_source=ABC&utm_medium=rss","https://tekno.kompas.com/read/2025/09/11/13350087/apa-itu-laptop-chromebook-fitur-fitur-kelebihan-dan-kekurangannya-?utm_source=ABC&utm_medium=rss"
"of-LN5kBTc8G7TXYZqIw","-",news,1,"Warga JGC menolak rencana pengoperasian RDF Rorotan pada 24 September karena khawatir dengan dampak lingkungan dan kesehatan.","Warga JGC menolak rencana pengoperasian RDF Rorotan pada 24 September karena khawatir dengan dampak lingkungan dan kesehatan.","Sep 11, 2025 @ 13:51:46.605",d687f71d80ba0d63c0a5443526ca481b,d687f71d80ba0d63c0a5443526ca481b,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:34:32.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.605","Sep 11, 2025 @ 13:51:46.605",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.565","Warga JGC Tetap Tolak Pengoperasian RDF Rorotan","Warga JGC Tetap Tolak Pengoperasian RDF Rorotan","https://megapolitan.kompas.com/read/2025/09/11/13343221/warga-jgc-tetap-tolak-pengoperasian-rdf-rorotan?utm_source=ABC&utm_medium=rss","https://megapolitan.kompas.com/read/2025/09/11/13343221/warga-jgc-tetap-tolak-pengoperasian-rdf-rorotan?utm_source=ABC&utm_medium=rss"
"ov-LN5kBTc8G7TXYZqJB","-",news,1,"Jenazah staf KBRI di Peru, Zetro Leonardo Purba, tiba di TPU Sari Mulya untuk dimakamkan.","Jenazah staf KBRI di Peru, Zetro Leonardo Purba, tiba di TPU Sari Mulya untuk dimakamkan.","Sep 11, 2025 @ 13:51:46.622",9b200268e42737a902b9aa7d5cbadd80,9b200268e42737a902b9aa7d5cbadd80,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:14:33.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.622","Sep 11, 2025 @ 13:51:46.622",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.565","Tiba di TPU Sari Mulya, Jenazah Staf KBRI Zetro Leonardo Purba Langsung Dimakamkan","Tiba di TPU Sari Mulya, Jenazah Staf KBRI Zetro Leonardo Purba Langsung Dimakamkan","https://megapolitan.kompas.com/read/2025/09/11/13143361/tiba-di-tpu-sari-mulya-jenazah-staf-kbri-zetro-leonardo-purba-langsung?utm_source=ABC&utm_medium=rss","https://megapolitan.kompas.com/read/2025/09/11/13143361/tiba-di-tpu-sari-mulya-jenazah-staf-kbri-zetro-leonardo-purba-langsung?utm_source=ABC&utm_medium=rss"
"o_-LN5kBTc8G7TXYZqJY","-",news,1,"Massa aksi yang tergabung dalam Aliansi Gerakan Reforma Agraria menggelar unjuk rasa di depan Gedung DPR RI, Jalan Gatot Subroto, Jakarta.","Massa aksi yang tergabung dalam Aliansi Gerakan Reforma Agraria menggelar unjuk rasa di depan Gedung DPR RI, Jalan Gatot Subroto, Jakarta.","Sep 11, 2025 @ 13:51:46.638",e3999257943f76305629a8783e6d9f4c,e3999257943f76305629a8783e6d9f4c,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:02:52.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.638","Sep 11, 2025 @ 13:51:46.638",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.565","Massa dari Aliansi Gerakan Reforma Agraria Demo di DPR, Ini Tuntutannya","Massa dari Aliansi Gerakan Reforma Agraria Demo di DPR, Ini Tuntutannya","https://megapolitan.kompas.com/read/2025/09/11/13025201/massa-dari-aliansi-gerakan-reforma-agraria-demo-di-dpr-ini-tuntutannya?utm_source=ABC&utm_medium=rss","https://megapolitan.kompas.com/read/2025/09/11/13025201/massa-dari-aliansi-gerakan-reforma-agraria-demo-di-dpr-ini-tuntutannya?utm_source=ABC&utm_medium=rss"
"pP-LN5kBTc8G7TXYZqJl","-",news,1,"Habib Muhsin Ahmad Alatas menekankan pentingnya BPIP diisi figur peduli bangsa, bukan orang-orang yang dapat jatah politik","Habib Muhsin Ahmad Alatas menekankan pentingnya BPIP diisi figur peduli bangsa, bukan orang-orang yang dapat jatah politik","Sep 11, 2025 @ 13:51:46.659",1d382a6f705f526de531a268c1be3aec,1d382a6f705f526de531a268c1be3aec,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 12:59:40.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.659","Sep 11, 2025 @ 13:51:46.659",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.568","Tokoh Agama Harap Jabatan di BPIP Tak Asal Diisi Politisi","Tokoh Agama Harap Jabatan di BPIP Tak Asal Diisi Politisi","https://nasional.kompas.com/read/2025/09/11/12594021/tokoh-agama-harap-jabatan-di-bpip-tak-asal-diisi-politisi?utm_source=ABC&utm_medium=rss","https://nasional.kompas.com/read/2025/09/11/12594021/tokoh-agama-harap-jabatan-di-bpip-tak-asal-diisi-politisi?utm_source=ABC&utm_medium=rss"
"pf-LN5kBTc8G7TXYZqJx","-",news,1,"Peru perketat keamanan KBRI di Lima setelah penembakan staf, Zetro Leonardo Purba. Duta Besar dan Presiden Peru berkomitmen mengusut tuntas.","Peru perketat keamanan KBRI di Lima setelah penembakan staf, Zetro Leonardo Purba. Duta Besar dan Presiden Peru berkomitmen mengusut tuntas.","Sep 11, 2025 @ 13:51:46.670",0a228b9113e233e8f68b3b28d6d18a7b,0a228b9113e233e8f68b3b28d6d18a7b,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 12:53:21.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.670","Sep 11, 2025 @ 13:51:46.670",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.568","Peru Perketat Pengamanan KBRI Lima Pasca-insiden Penembakan Zetro Purba","Peru Perketat Pengamanan KBRI Lima Pasca-insiden Penembakan Zetro Purba","https://nasional.kompas.com/read/2025/09/11/12532131/peru-perketat-pengamanan-kbri-lima-pasca-insiden-penembakan-zetro-purba?utm_source=ABC&utm_medium=rss","https://nasional.kompas.com/read/2025/09/11/12532131/peru-perketat-pengamanan-kbri-lima-pasca-insiden-penembakan-zetro-purba?utm_source=ABC&utm_medium=rss"
